constituency,state,status,Vote,Margin,Candidate,Party
Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",won,762069,296530,C.M.RAMESH,Bharatiya Janata Party
Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",lost,465539,-296530,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party
Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",lost,25651,-736418,VEGI VENKATESH,Indian National Congress
Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",lost,19157,-742912,PALAKA SREERAMA MURTHY,Bahujan Samaj Party
Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",lost,4002,-758067,VANKAYALA RAMACHANDRA RAO,Independent
Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",lost,3852,-758217,LOVARAJU SIDDHA,Independent
Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",lost,3557,-758512,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party
Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",lost,3124,-758945,GARA SURYA RAO,Independent
Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",lost,2619,-759450,APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party
Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",lost,2184,-759885,NAGESWARA RAO PETLA,Independent
Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",lost,1913,-760156,ADARI SARAT CHANDRA,Jai Bharat National Party
Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",lost,1591,-760478,VIJAYA LAKSHMI KARRI,Pyramid Party of India
Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",lost,1576,-760493,DR. THUMMAPALA HARI  SHANKAR,Independent
Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",lost,1201,-760868,JUNNURI J SRINIVAS,Independent
Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",lost,1062,-761007,APPALANAIDU TUMMAGUNTA,Independent
Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",,26235,-735834,NOTA,None of the Above
Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",won,726515,239139,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party
Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",lost,487376,-239139,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party
Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",lost,32508,-694007,GIDUGU RUDRARAJU,Indian National Congress
Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",lost,20409,-706106,GANESWARA RAO PARAMATA,Bahujan Samaj Party
Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",lost,17008,-709507,BATTULA BALARAMAKRISHNA,Navarang Congress Party
Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",lost,3278,-723237,SALOPANTULA RAGHAVENDRA RAO,Independent
Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",lost,3115,-723400,DR. MEDISI RATNARAO ALIAS VINAY,Independent
Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",lost,2833,-723682,MOHANARAO SINGULURI,Jai Bharat National Party
Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",lost,2429,-724086,MEDA SRINIVASA RAO,Rashtriya Praja Congress  (Secular)
Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",lost,2179,-724336,BOMMANABOINA VSR MURTHY,Independent
